SlowK,SlowD,RSI,MACD_Signal,MACD,MACD_Hist,EMA,CCI,Aroon Down,Aroon Up,1. open,2. high,3. low,4. close,5. volume,Trend label
32.3347,22.4751,40.8919,-2.4705,-2.6406,-0.1702,28.0515,-70.5453,100.0,10.0,24.08,26.92,23.01,26.41,698911.0,1
16.951,17.4767,27.2038,-2.428,-2.7466,-0.3186,28.2859,-124.835,100.0,20.0,26.19,26.47,23.17,23.64,774417.0,1
18.1397,21.6548,32.6886,-2.3483,-2.5598,-0.2116,28.9496,-116.1594,100.0,0.0,24.78,27.93,23.81,25.87,502318.0,-1
17.3393,27.8229,26.2034,-2.2954,-2.5113,-0.2159,29.3896,-216.0258,100.0,10.0,25.77,26.38,24.33,24.79,686919.0,1
29.4853,38.0233,28.9201,-2.2414,-2.3029,-0.0614,30.0467,-184.208,100.0,0.0,28.79,29.38,25.35,25.96,528105.0,-1
36.6441,47.0161,37.1966,-2.2261,-2.1224,0.1036,30.6305,-63.5836,30.0,0.0,28.95,29.5,28.45,28.75,384786.0,-1
47.9406,56.6327,38.4386,-2.252,-2.1454,0.1066,30.8991,-91.6673,40.0,10.0,28.5,29.25,27.55,29.1,673319.0,1
56.4635,59.1798,35.0949,-2.2786,-2.179,0.0996,31.1562,-90.6354,50.0,20.0,30.55,30.6975,27.85,28.5,608162.0,-1
65.494,56.8708,41.9266,-2.3035,-2.1292,0.1743,31.5356,-13.0381,60.0,30.0,30.45,30.9,29.85,30.5,385414.0,-1
55.5819,51.3753,42.2971,-2.3471,-2.2383,0.1088,31.6836,-4.1121,70.0,0.0,30.6,31.1,29.95,30.6,520319.0,-1
49.5366,49.3143,40.1552,-2.3743,-2.3552,0.0191,31.8384,-91.2052,80.0,0.0,28.75,30.3,27.7,30.15,595817.0,1
49.0074,49.7639,32.936,-2.3791,-2.4243,-0.0452,32.0795,-157.431,90.0,10.0,29.45,30.05,27.25,28.7,657898.0,1
49.3988,48.1912,35.3159,-2.3678,-2.3296,0.0382,32.5623,-136.2747,100.0,20.0,31.45,32.6,26.1,29.6,1765936.0,-1
50.8857,46.3827,40.9358,-2.3773,-2.2665,0.1108,32.9855,-75.9104,60.0,30.0,30.85,31.65,29.8,31.5,602938.0,-1
