SlowK,SlowD,RSI,MACD,MACD_Hist,MACD_Signal,EMA,CCI,Aroon Down,Aroon Up,1. open,2. high,3. low,4. close,5. volume,Trend label
33.4343,11.2955,55.6283,-0.0029,-0.0046,0.0017,0.0701,20.4713,40.0,0.0,0.0501,0.08,0.0501,0.08,1325.0,1
0.1843,0.234,32.375,-0.0043,-0.0072,0.0029,0.0687,-62.2007,50.0,10.0,0.0501,0.0501,0.0501,0.0501,0.0,1
0.2677,0.2558,32.375,-0.0031,-0.0077,0.0047,0.0714,-74.3961,60.0,0.0,0.0501,0.0501,0.0501,0.0501,0.0,1
0.25,0.2221,32.375,-0.0014,-0.008,0.0066,0.0744,-92.9836,70.0,10.0,0.0501,0.0501,0.0501,0.0501,1.0,1
0.2498,0.1665,32.375,0.0008,-0.0078,0.0086,0.0779,-124.3521,80.0,20.0,0.0501,0.0501,0.0501,0.0501,0.0,1
0.1665,0.0832,32.375,0.0036,-0.0069,0.0105,0.0818,-166.4361,90.0,0.0,0.0501,0.0501,0.0501,0.0501,0.0,1
0.0831,0.0277,32.375,0.0071,-0.0052,0.0123,0.0864,-134.3251,100.0,10.0,0.083,0.083,0.05,0.0501,15400.0,-1
0.0,0.0,51.5239,0.0114,-0.0021,0.0136,0.0915,-61.9302,100.0,20.0,0.09,0.09,0.09,0.09,200.0,-1
0.0,0.0,51.5239,0.0128,-0.0013,0.0141,0.0917,-73.8585,0.0,30.0,0.09,0.09,0.09,0.09,40.0,1
0.0,0.0,51.5239,0.0143,-0.0002,0.0145,0.092,-82.0655,10.0,40.0,0.09,0.09,0.09,0.09,800.0,1
0.0,9.1667,51.5239,0.016,0.0015,0.0145,0.0923,-51.0348,20.0,50.0,0.09,0.0901,0.09,0.09,1180.0,1
0.0,29.4444,51.5239,0.018,0.0038,0.0141,0.0926,-30.8227,30.0,60.0,0.09,0.09,0.09,0.09,0.0,1
27.5,60.8333,51.5239,0.0202,0.007,0.0132,0.093,4.5918,40.0,70.0,0.129,0.129,0.09,0.09,900.0,-1
60.8333,85.0,74.3751,0.0228,0.0113,0.0114,0.0934,48.0355,50.0,80.0,0.129,0.129,0.129,0.129,5000.0,-1
94.1667,98.0556,74.3751,0.0217,0.0131,0.0086,0.0883,58.0965,60.0,90.0,0.129,0.129,0.129,0.129,590.0,1
100.0,88.8889,92.2124,0.0201,0.0148,0.0053,0.0825,99.484,70.0,100.0,0.15,0.15,0.15,0.15,0.0,-1
100.0,66.6667,92.2124,0.0156,0.014,0.0016,0.0729,136.7139,80.0,100.0,0.15,0.15,0.15,0.15,590.0,1
66.6667,33.3333,92.2124,0.0096,0.0115,-0.0019,0.0619,214.1834,90.0,100.0,0.14,0.15,0.14,0.15,2162.0,1
33.3333,11.1111,91.5051,0.0018,0.0066,-0.0048,0.0493,333.3333,100.0,100.0,0.03,0.14,0.03,0.14,18566.0,1
0.0,0.0,15.8311,-0.0071,-0.0007,-0.0064,0.0363,-41.7318,100.0,20.0,0.03,0.03,0.03,0.03,600.0,1
0.0,0.0,15.8311,-0.0072,-0.001,-0.0063,0.0372,-47.3274,100.0,30.0,0.0301,0.0301,0.03,0.03,1750.0,-1
0.0,0.0,15.8311,-0.0073,-0.0013,-0.006,0.0382,-55.5556,100.0,40.0,0.03,0.03,0.03,0.03,0.0,1
