SlowD,SlowK,RSI,MACD_Signal,MACD_Hist,MACD,EMA,CCI,Aroon Down,Aroon Up,1. open,2. high,3. low,4. close,5. volume,Trend label
43.6208,56.5278,60.428,0.2409,-0.0116,0.2292,3.8715,117.2246,80.0,0.0,4.31,4.55,4.12,4.41,13061543.0,1
39.9905,38.848,55.9157,0.2438,-0.0462,0.1976,3.7946,-32.5391,90.0,0.0,3.45,4.08,3.44,4.08,7680090.0,1
38.4124,35.4866,44.093,0.2553,-0.0674,0.1879,3.7538,-129.2734,100.0,10.0,3.75,3.81,3.35,3.4,8182306.0,1
31.8693,45.6368,50.5527,0.2721,-0.03,0.2421,3.8044,-75.5192,0.0,20.0,4.07,4.13,3.68,3.76,7641912.0,-1
20.7585,34.1137,57.2642,0.2797,-0.0086,0.2711,3.8107,-0.6728,0.0,30.0,3.95,4.31,3.8736,4.08,7231456.0,-1
17.9867,15.8575,54.5488,0.2818,-0.0103,0.2715,3.7722,-41.0099,10.0,40.0,3.55,4.07,3.46,3.92,7062223.0,1
24.9838,12.3045,47.1873,0.2844,0.0001,0.2845,3.7511,-43.7262,0.0,50.0,4.03,4.09,3.52,3.53,11661292.0,-1
39.5068,25.7983,57.767,0.2843,0.0522,0.3365,3.7827,14.1362,0.0,60.0,4.1,4.16,3.86,4.02,7944724.0,-1
56.0647,36.8486,60.248,0.2713,0.0769,0.3482,3.7488,47.6686,10.0,70.0,4.19,4.4,4.07,4.12,11441361.0,-1
73.6015,55.8737,60.248,0.2521,0.0958,0.3479,3.6958,74.5088,20.0,80.0,4.06,4.75,4.06,4.12,14589717.0,1
85.8425,75.4717,60.1093,0.2281,0.1143,0.3424,3.6352,104.2137,30.0,90.0,4.9,4.9,4.05,4.11,23796483.0,-1
86.1136,89.4589,80.2906,0.1995,0.1319,0.3314,3.5674,229.1933,40.0,100.0,4.23,5.29,4.15,4.91,32434208.0,-1
75.44,92.5969,73.6129,0.1666,0.0645,0.2311,3.3756,177.7778,0.0,100.0,4.0,4.24,3.73,4.24,11580954.0,1
53.7795,76.2849,63.7006,0.1504,0.0175,0.168,3.2521,74.4681,0.0,20.0,3.5,3.74,3.3,3.64,6291031.0,1
34.3637,57.4384,59.0903,0.1461,-0.0,0.146,3.1967,17.7819,10.0,30.0,3.25,3.45,3.17,3.44,2313752.0,1
22.0898,27.6153,54.1067,0.1461,-0.0098,0.1362,3.1619,14.661,20.0,40.0,3.47,3.48,3.2,3.25,3343707.0,-1
25.4966,18.0374,54.4207,0.1485,-0.0074,0.1411,3.1493,0.5891,30.0,50.0,3.08,3.46,3.02,3.26,3673179.0,1
38.6017,20.6168,48.1971,0.1504,-0.0061,0.1443,3.1335,-36.4093,40.0,60.0,3.23,3.32,3.01,3.03,2493231.0,1
57.4913,37.8355,53.0123,0.1519,0.0178,0.1697,3.1483,-24.038,0.0,70.0,3.15,3.24,3.02,3.2,1872746.0,-1
70.7378,57.3529,51.7359,0.1474,0.0348,0.1822,3.1409,-0.0942,0.0,80.0,3.32,3.35,3.09,3.15,2849223.0,-1
74.2693,77.2854,57.9721,0.1388,0.062,0.2008,3.1397,90.0554,0.0,90.0,3.79,3.85,3.31,3.37,3644776.0,-1
68.9135,77.575,70.9096,0.1233,0.0758,0.1991,3.1067,176.2981,10.0,100.0,3.99,4.0,3.6,3.74,6963085.0,-1
68.0459,67.9476,70.5903,0.1043,0.052,0.1563,3.0163,163.1605,20.0,100.0,3.2,3.75,2.97,3.72,13991044.0,1
75.0433,61.218,54.3595,0.0913,0.0103,0.1015,2.9158,7.4906,30.0,80.0,2.99,3.055,2.64,3.0,3851462.0,1
82.6444,74.9723,52.3889,0.0887,0.0147,0.1035,2.9037,25.5065,40.0,90.0,3.12,3.18,2.75,2.94,3747814.0,-1
77.8912,88.9398,58.8708,0.085,0.0255,0.1105,2.8985,73.6421,50.0,100.0,3.22,3.3,2.91,3.11,4289018.0,-1
59.8786,84.0213,62.9973,0.0787,0.0219,0.1006,2.8683,109.4836,60.0,40.0,3.1,3.245,3.02,3.21,2578623.0,1
37.9473,60.7126,62.2835,0.0732,0.0031,0.0763,2.8195,105.6022,70.0,50.0,3.0,3.23,2.8,3.18,3239372.0,1
25.448,34.902,56.2001,0.0724,-0.0252,0.0472,2.768,14.8659,80.0,60.0,2.66,2.95,2.55,2.94,1520724.0,1
26.5216,18.2272,46.0921,0.0787,-0.0449,0.0338,2.7434,-74.1217,90.0,70.0,2.57,2.66,2.47,2.63,1481950.0,1
41.0167,23.2148,43.039,0.09,-0.0421,0.0479,2.7597,-103.5846,100.0,80.0,2.59,2.65,2.41,2.55,2243373.0,1
58.8716,38.1226,45.0481,0.1005,-0.0273,0.0732,2.7896,-56.0174,30.0,90.0,2.84,2.91,2.53,2.62,3818976.0,-1
67.6247,61.7126,51.9014,0.1073,-0.0099,0.0973,2.8138,76.6319,40.0,100.0,2.97,3.26,2.81,2.84,4330788.0,-1
62.4812,76.7797,56.0905,0.1098,-0.0054,0.1044,2.8101,95.1844,50.0,90.0,3.1,3.12,2.85,2.96,1037937.0,-1
