SlowK,SlowD,RSI,MACD,MACD_Hist,MACD_Signal,EMA,CCI,Aroon Down,Aroon Up,1. open,2. high,3. low,4. close,5. volume,Trend label
65.5409,51.0046,35.7876,-12.9624,-5.8224,-7.14,131.3547,-31.3592,70.0,0.0,123.06,127.78,120.09,124.17,940404.0,1
47.7356,38.7345,35.5283,-12.8431,-7.1587,-5.6844,133.6533,-52.8471,80.0,0.0,121.0,124.69,117.8938,123.82,1015841.0,1
39.7372,30.8545,34.4318,-12.4709,-8.5762,-3.8947,136.3266,-82.4509,90.0,0.0,111.28,125.44,108.62,122.21,1765891.0,1
28.7306,21.8317,27.238,-11.6623,-9.9117,-1.7507,139.5954,-103.1711,100.0,0.0,132.21,132.21,106.31,111.81,2403719.0,-1
24.0957,13.686,33.3413,-9.4777,-10.2049,0.7273,144.7103,-73.659,90.0,10.0,124.82,131.21,120.35,131.09,1080085.0,-1
12.6688,7.7452,28.1156,-8.3736,-11.6521,3.2785,147.9991,-96.3724,100.0,20.0,117.45,127.91,112.8,124.14,955223.0,1
4.2935,5.0117,24.2635,-6.1858,-12.3773,6.1915,152.6795,-101.3525,100.0,30.0,133.09,133.6,118.47,119.13,1895003.0,-1
6.2732,6.4394,27.8555,-2.8299,-12.1157,9.2859,158.6928,-94.7497,100.0,0.0,139.32,142.57,130.01,133.34,1324753.0,-1
4.4684,8.2006,29.4756,0.2286,-12.0862,12.3148,163.7888,-93.6454,100.0,0.0,150.86,155.69,137.32,138.9,1293814.0,-1
8.5767,16.7428,32.4042,3.6067,-11.7296,15.3363,168.88,-110.8758,100.0,0.0,147.96,150.25,142.64,148.5,1385691.0,-1
11.5567,25.7885,31.0425,6.9642,-11.3046,18.2687,173.4331,-146.8436,100.0,0.0,158.35,159.77,143.38,146.38,1181477.0,-1
30.0949,35.5245,34.5498,11.3473,-9.7476,21.0949,178.9162,-201.4351,90.0,10.0,159.0,165.7,149.6,158.25,1364729.0,-1
35.714,36.5825,35.0421,15.6617,-7.8701,23.5318,183.6181,-200.8585,100.0,20.0,211.82,219.9,148.0,159.89,2508776.0,-1
40.7645,36.632,59.0174,20.7866,-4.7127,25.4993,188.7755,-52.8653,40.0,30.0,208.36,219.99,200.54,211.84,1041060.0,-1
33.2691,37.1016,55.4304,22.1454,-4.5321,26.6775,187.8226,-100.5408,50.0,40.0,204.3,212.98,197.23,205.05,1108093.0,1
35.8623,40.6631,54.8648,24.1953,-3.6151,27.8105,187.6284,-81.8407,60.0,50.0,209.98,218.67,203.97,203.97,968675.0,-1
42.1733,47.7359,59.1963,26.5614,-2.1529,28.7143,187.5489,-91.6567,0.0,60.0,211.21,214.98,194.35,210.89,1314260.0,-1
43.9536,56.444,60.0847,28.5449,-0.7075,29.2525,186.546,-35.9402,10.0,70.0,223.29,223.73,207.23,212.33,1117879.0,-1
57.0808,70.4409,65.7727,30.5262,1.0968,29.4294,185.21,17.3798,0.0,80.0,215.12,228.76,208.7,221.55,1637893.0,-1
68.2976,81.688,63.5998,31.7449,2.5897,29.1552,182.468,19.1317,0.0,90.0,248.47,252.46,181.76,215.09,3990133.0,-1
85.9443,87.8086,90.1893,33.4454,4.9377,28.5078,180.1856,126.8144,0.0,100.0,238.76,260.98,237.02,248.98,1306729.0,-1
90.8221,84.5569,88.5937,31.9983,4.7249,27.2733,173.1839,109.5506,0.0,100.0,231.0,243.77,228.0,236.56,861493.0,1
86.6595,78.0997,87.4374,30.8498,4.7577,26.0921,166.8153,104.6102,0.0,100.0,225.97,231.77,220.15,228.75,776214.0,1
76.1889,73.605,86.8281,29.6673,4.7646,24.9027,160.5639,116.5962,10.0,70.0,212.26,226.29,211.53,224.79,775538.0,1
71.4508,74.0227,84.4869,28.0976,4.386,23.7115,153.9403,127.5152,0.0,80.0,206.08,215.82,205.79,211.1,944112.0,1
73.1753,74.0431,83.2309,26.9685,4.3535,22.615,148.1707,161.7602,0.0,90.0,212.88,213.84,197.99,204.69,1610150.0,-1
77.4421,72.2862,92.1334,25.7359,4.2092,21.5267,142.4199,234.5238,0.0,100.0,174.13,229.2,167.17,213.19,1675018.0,1
71.5119,66.3793,86.0516,22.9917,2.5173,20.4743,134.7297,131.1841,0.0,100.0,171.25,182.82,168.26,174.69,880105.0,1
67.9046,60.9685,85.1269,22.7631,2.9181,19.845,131.0039,103.3569,0.0,60.0,166.0,173.09,165.1,171.25,578907.0,1
59.7214,60.3309,83.6369,22.4627,3.3472,19.1155,127.1983,92.0665,0.0,70.0,168.94,169.72,161.28,166.0,663142.0,1
55.2794,65.6899,86.0912,22.2447,3.966,18.2787,123.5394,94.7703,10.0,80.0,160.15,170.62,154.12,167.66,786144.0,1
65.9919,78.2179,84.2067,21.4872,4.2,17.2872,119.1395,76.9936,20.0,90.0,153.3,162.93,148.02,160.16,930180.0,1
75.7983,87.1835,82.5557,20.9108,4.6737,16.2372,115.0973,100.5062,0.0,100.0,163.25,179.52,146.25,154.81,1839066.0,-1
92.8634,94.4703,95.7288,20.4166,5.3479,15.0688,111.2432,116.4198,0.0,100.0,150.0,164.06,149.11,163.35,985043.0,1
92.8887,96.1587,94.3452,18.6908,4.959,13.7318,105.7189,113.7762,0.0,100.0,152.83,156.5,146.03,148.8,1008053.0,1
97.6588,96.4339,94.7438,17.5758,5.0838,12.492,101.3129,129.3531,0.0,100.0,140.42,149.68,140.07,149.01,653647.0,1
97.9285,93.6772,93.7969,15.8774,4.6563,11.2211,96.25,135.1023,10.0,100.0,134.02,141.34,132.4,140.58,714123.0,1
93.7145,87.6098,92.7397,14.2664,4.2094,10.057,91.5691,154.1703,0.0,100.0,127.89,134.6,123.44,133.01,862756.0,1
89.3885,82.9259,91.8366,12.71,3.7054,9.0046,87.2119,187.5823,0.0,100.0,121.9,127.69,114.69,127.55,1141381.0,1
79.7265,81.1693,90.6718,11.0489,2.9706,8.0783,82.9482,162.1515,10.0,100.0,101.26,126.6,95.88,121.46,1343452.0,1
79.6627,85.5803,83.7382,9.3369,2.0013,7.3356,78.8737,83.1678,20.0,90.0,98.83,101.91,97.28,101.24,567811.0,1
84.1186,90.1344,82.3673,8.9055,2.0702,6.8353,76.8682,89.2868,30.0,100.0,99.0,103.87,96.3,98.89,1020438.0,1
