SlowK,SlowD,RSI,EMA,CCI,Aroon Down,Aroon Up,1. open,2. high,3. low,4. close,5. volume,Trend label
59.4486,38.2108,46.4589,2.6162,38.2757,80.0,0.0,2.392,2.6,2.38,2.58,12681.0,1
31.6112,25.2401,36.763,2.6213,-67.764,90.0,10.0,2.3607,2.43,2.35,2.38,30178.0,1
23.5728,20.9592,34.172,2.6558,-85.3825,100.0,20.0,2.49,2.49,2.19,2.3317,28577.0,-1
20.5364,17.2764,33.9653,2.7021,-79.8036,100.0,0.0,2.39,2.53,2.28,2.3276,21956.0,1
18.7685,11.6817,35.4918,2.7556,-76.4854,100.0,0.0,2.5,2.5875,2.2969,2.39,87035.0,-1
12.5242,6.7056,38.217,2.8079,-77.9431,90.0,0.0,2.53,2.56,2.385,2.5,55325.0,-1
3.7523,3.2609,34.9476,2.8518,-98.8583,100.0,10.0,2.59,2.59,2.35,2.42,36300.0,1
3.8402,5.3817,36.6952,2.9135,-109.5352,100.0,20.0,2.51,2.69,2.45,2.5,42905.0,1
2.1901,7.6788,36.6952,2.9726,-144.6592,100.0,30.0,2.6,2.6,2.5,2.5,16980.0,-1
10.1147,14.1927,38.8012,3.0401,-148.4153,100.0,40.0,2.79,2.92,2.53,2.6072,32415.0,-1
10.7317,20.0901,40.8233,3.102,-94.0029,100.0,50.0,3.2124,3.46,2.71,2.71,87905.0,-1
21.7317,35.2907,52.0789,3.158,-43.306,100.0,60.0,2.9447,3.292,2.9447,3.1837,34315.0,-1
27.807,50.7968,49.3262,3.1543,-30.3125,0.0,70.0,3.31,3.38,3.05,3.08,56437.0,-1
56.3333,59.6111,54.7891,3.1649,35.4448,0.0,80.0,3.3201,3.705,3.11,3.28,102915.0,-1
68.25,56.158,57.362,3.1485,97.7818,10.0,90.0,3.93,3.9489,3.25,3.37,86742.0,-1
54.25,47.2804,75.8951,3.1168,232.0271,20.0,100.0,3.7,3.95,3.44,3.89,322045.0,-1
45.9741,50.6837,69.1719,3.0064,278.119,30.0,100.0,3.0274,3.75,3.0,3.5,260248.0,1
41.6172,56.7742,52.2782,2.9358,9.3409,40.0,50.0,3.15,3.2,2.95,2.95,35327.0,1
64.46,65.7445,63.703,2.9338,86.8764,0.0,60.0,3.05,3.2,3.015,3.15,14653.0,-1
64.2453,61.6036,58.6157,2.9029,57.2332,0.0,70.0,3.0973,3.15,3.0,3.025,19213.0,1
68.5284,56.6856,63.4153,2.8855,88.7724,10.0,80.0,3.1973,3.1973,3.0,3.1,13683.0,-1
52.0372,49.312,63.4153,2.8549,98.8206,20.0,90.0,3.1361,3.15,2.9787,3.1,21854.0,1
49.4913,55.7349,63.4153,2.8199,124.2685,0.0,100.0,2.85,3.2837,2.85,3.1,114217.0,1
46.4075,61.7963,51.9401,2.7798,38.2129,10.0,80.0,3.1,3.1,2.7,2.8,159069.0,1
71.3059,72.2994,63.9811,2.7769,127.4248,20.0,90.0,2.97,3.038,2.95,3.0,31498.0,-1
67.6756,72.9752,61.999,2.7451,210.3356,30.0,100.0,2.9,3.2248,2.9,2.95,124977.0,1
77.9167,75.3662,61.034,2.7158,193.4906,0.0,100.0,2.7925,2.95,2.7925,2.925,49661.0,1
73.3333,73.4343,50.9442,2.6859,46.1183,0.0,10.0,2.85,2.85,2.7,2.7,59978.0,1
74.8485,69.8325,56.8304,2.6839,56.6564,10.0,20.0,2.75,2.8,2.65,2.8,14005.0,1
72.1212,68.3525,54.4627,2.6673,20.8025,20.0,30.0,2.65,2.75,2.55,2.75,41180.0,1
62.5277,66.7046,49.4747,2.6555,37.6796,0.0,40.0,2.7,2.8,2.65,2.65,55819.0,1
70.4086,70.4593,58.0604,2.6563,59.9193,10.0,50.0,2.65,2.8,2.6,2.8,26679.0,-1
67.1774,71.3046,50.2977,2.6358,21.5708,20.0,60.0,2.85,2.85,2.35,2.65,102494.0,-1
73.7919,68.6651,60.3512,2.6337,93.7594,30.0,70.0,2.7501,2.85,2.715,2.8,30588.0,-1
72.9446,58.8321,58.264,2.61,106.7336,40.0,80.0,2.8,2.9,2.703,2.7583,34173.0,-1
