SlowK,SlowD,RSI,EMA,CCI,Aroon Down,Aroon Up,1. open,2. high,3. low,4. close,5. volume,Trend label
27.23,22.7099,36.7612,61.976,-64.2617,60.0,10.0,1.0,1.22,0.96,1.01,1775141.0,1
22.4443,16.4544,36.2597,63.6155,-78.2063,70.0,20.0,1.15,1.1635,0.95,1.0,1703591.0,-1
18.4555,11.703,40.9342,65.5606,-23.7331,80.0,30.0,0.88,1.78,0.86,1.16,16101606.0,1
8.4633,8.5259,27.2104,66.6406,-117.0776,90.0,40.0,0.87,0.96,0.851,0.9,528482.0,1
8.1902,9.9946,27.6396,69.7322,-103.941,100.0,50.0,1.35,1.35,0.786,0.9193,1066318.0,-1
8.9241,12.9835,40.4399,73.1274,-14.2949,40.0,60.0,1.29,1.4756,1.2842,1.3498,777520.0,-1
12.8695,20.5963,37.1028,73.9328,-35.1676,50.0,70.0,1.42,1.42,1.21,1.295,502021.0,-1
17.1569,27.0793,39.0807,75.2446,51.9773,60.0,80.0,1.55,2.18,1.33,1.35,15667267.0,-1
31.7624,31.3684,47.8455,76.3509,46.7337,70.0,90.0,1.63,1.75,1.4,1.56,2716965.0,-1
32.3186,26.0858,48.7833,76.1154,237.5273,80.0,100.0,1.27,3.75,1.151,1.58,43909667.0,1
30.0242,19.4371,29.4238,75.7033,-64.6571,90.0,10.0,1.14,1.3281,1.1,1.269,522836.0,1
15.9147,12.96,17.8287,77.4537,-103.2025,100.0,20.0,1.226,1.23,1.03,1.14,327175.0,1
12.3722,10.4049,19.8973,80.3757,-87.1415,90.0,30.0,1.22,1.35,1.1869,1.2307,601762.0,-1
10.5931,8.75,19.8327,83.0672,-112.2591,100.0,40.0,1.26,1.29,1.12,1.23,672138.0,-1
8.2495,7.552,20.691,86.1483,-105.6626,100.0,50.0,1.46,1.46,1.19,1.27,1381598.0,-1
7.4074,7.0082,24.5092,89.3837,-94.3774,80.0,60.0,1.46,1.55,1.32,1.43,265100.0,-1
6.999,7.1331,21.239,91.9385,-87.2146,90.0,70.0,1.47,1.95,1.3,1.39,1396821.0,1
6.6181,8.9707,22.1006,95.1441,-139.8656,100.0,80.0,1.6399,1.6399,1.25,1.43,258612.0,-1
